iso3,name,nom,POP,PIB,IDH,ADOFEC,CO2HAB,EMPAGR,EMPSER,INTERN,ESPVIE,AGEMED,TELMOB,MORINF,TXMIGR,DVIEUX,TUBERC,URBANI,DJEUNE,SUBREG,LOCKED,COLFRA,COLGBR,LANGFR,LANGEN
GNQ,Eq. Guinea,Guinée équatoriale,1.332474,19458.924495,0.587,157.01625,4.344926374,42.2215,38.3485,26.24,58.571,22.335,45.1669,62.620239,12.443,4.0325,201,72.35,61.19,Middle Africa,0,0,0,1,0
KEN,Kenya,Kenya,51.9832685,4266.836836,0.6,76.462375,0.359705728,54.7625,37.984,17.8271,66.521,20.119,96.3202,30.622535,-0.197,4.097,292,27.25,67.933,Eastern Africa,0,0,1,0,1
LBR,Liberia,Libéria,4.878175,1462.4117835,0.48,136.347,0.323409158,43.3515,46.3395,7.98448,63.915,19.411,56.569,53.482193,-1.049,5.86,308,51.4,73.38,Western Africa,0,1,0,0,1
LBY,Libya,Libye,6.728009,15096.076915,0.7225,5.8135,8.087927351,18.669,58.909,21.7589,72.817,28.817,91.4793,10.242695,-0.301,6.5675,40,80.25,41.8425,Northern Africa,0,0,0,0,0
LSO,Lesotho,Lesotho,2.116797,2758.1290145,0.5245,92.26175,1.261331254,8.6585,49.089,29,54.0175,24.01,113.831,65.666138,-4.783,7.8615,611,28.4,52.1515,Southern Africa,1,0,1,0,1
MAR,Morocco,Maroc,36.2504275,7476.179208,0.683,31.357,1.840451548,34.972,43.3205,64.8039,76.5665,29.538,124.172,19.225858,-1.437,10.884,99,62.75,41.195,Northern Africa,0,1,0,1,0
MDG,Madagascar,Madagascar,26.6158095,1629.662278,0.5275,110.89525,0.163020675,64.448,26.611,9.8,66.8605,19.568,40.5703,38.183232,-0.058,5.34,233,37.55,71.755,Eastern Africa,0,1,0,1,0
MLI,Mali,Mali,19.367889,2305.236143,0.4325,170.34925,0.186615308,62.7985,29.5865,13,59.1015,16.347,115.085,61.961957,-2.123,4.995,53,42.75,94.7075,Western Africa,1,1,0,1,0
MOZ,Mozambique,Mozambique,29.931026,1284.996527,0.454,149.940875,0.280919409,70.461,21.1085,10,60.5065,17.62,47.7158,54.018286,-0.172,5.4845,551,36.25,84.6455,Eastern Africa,0,0,0,0,0
MRT,Mauritania,Mauritanie,4.464505,5119.7260215,0.544,72.045,0.604431254,51.665,35.5065,20.801,64.817,20.114,103.706,51.542913,1.15,5.537,93,54.1,70.3175,Western Africa,0,1,0,0,0
